#time_sec,time_ms,run,ls,nb,plt_bkg_A1,plt_bkg_A2,plt_bkg_B1,plt_bkg_B2
1465655781,317,274959,56,16,6.59417448859e-16,5.21966983716e-16,3.15389819447e-16,4.74036510017e-16
1465655782,774,274959,56,20,3.95632629118e-16,7.50351146049e-16,3.31977483855e-16,5.33314918922e-16
1465655784,230,274959,56,24,7.58347856034e-16,4.8935792092e-16,4.48194116732e-16,4.59237980938e-16
1465655785,688,274959,56,28,5.93459076438e-16,5.54601332569e-16,3.81778861124e-16,4.29613884166e-16
1465655787,144,274959,56,32,6.26470268161e-16,7.8297761905e-16,3.81787984435e-16,3.25915828173e-16
1465655788,601,274959,56,36,6.59395802923e-16,7.50380742271e-16,3.48577188898e-16,5.62946647015e-16
1465655790,58,274959,56,40,4.28630544835e-16,4.89389221349e-16,4.14982956263e-16,4.59263198464e-16
1465655791,515,274959,56,44,8.57248001209e-16,5.87282981434e-16,2.98785062409e-16,4.74084074576e-16
1465655792,972,274959,56,48,6.92384744803e-16,6.19873974197e-16,2.98790204887e-16,3.99990656964e-16
1465655794,429,274959,56,52,9.56171778401e-16,4.24111380241e-16,3.31987174595e-16,2.51843879652e-16
1465655795,886,274959,56,56,5.93493231265e-16,6.52484465433e-16,4.81403250456e-16,4.88874776376e-16
1465655797,343,274959,56,60,6.92403389605e-16,3.58865135009e-16,4.316001221e-16,4.14814806812e-16
1465655798,800,274959,56,64,5.2753085108e-16,5.87247691786e-16,3.48593915086e-16,4.4443414029e-16
1465655800,257,274959,57,4,4.28614352189e-16,5.54614233274e-16,1.32799279127e-16,3.40741377918e-16
1465655801,713,274959,57,8,7.25352336929e-16,5.87234818494e-16,2.48995678456e-16,5.48169440808e-16
1465655803,170,274959,57,12,7.91313289752e-16,3.91484713747e-16,3.32003889705e-16,5.77774203966e-16
1465655804,627,274959,57,16,4.94558975607e-16,5.21984345523e-16,2.98799172908e-16,3.11112956431e-16
1465655806,84,274959,57,20,8.90199253521e-16,4.89382688239e-16,3.48596002187e-16,5.03696168149e-16
1465655807,541,274959,57,24,6.92397711063e-16,6.19842036748e-16,3.32001326828e-16,3.40740097565e-16
1465655808,998,274959,57,28,6.26465601637e-16,7.50357206679e-16,2.15806799331e-16,4.29633721776e-16
1465655810,455,274959,57,32,4.61604852556e-16,6.19845868593e-16,4.15030175398e-16,3.85190256595e-16
1465655811,912,274959,57,36,4.61602846026e-16,5.54586113747e-16,3.4863091235e-16,3.7036662464e-16
1465655813,369,274959,57,40,4.28647742695e-16,6.19873807217e-16,2.82219204173e-16,4.88877733872e-16
1465655814,826,274959,57,44,8.57318156329e-16,4.89372801361e-16,4.98049834237e-16,4.29642060127e-16
1465655816,283,274959,57,48,6.92399608997e-16,7.17720793404e-16,3.65226614428e-16,3.55545318413e-16
1465655817,740,274959,57,52,8.90226611767e-16,5.54600502166e-16,3.81829322183e-16,5.03714568983e-16
1465655819,197,274959,57,56,8.90260229344e-16,5.87232871158e-16,2.49015876253e-16,4.29635191168e-16
1465655820,654,274959,57,60,8.90246158799e-16,5.54605758467e-16,3.9843090721e-16,4.74072099294e-16
1465655822,110,274959,57,64,8.57317792579e-16,7.82941981908e-16,4.15027698627e-16,5.48150387207e-16
1465655823,567,274959,58,4,4.28632841565e-16,4.89336149186e-16,2.98824784138e-16,3.55554806307e-16
1465655825,24,274959,58,8,6.264458808e-16,6.19853007025e-16,3.15414629429e-16,4.00008699912e-16
1465655826,481,274959,58,12,4.61587887412e-16,5.87238389979e-16,2.49024568144e-16,4.1484166011e-16
1465655827,938,274959,58,16,7.58341667277e-16,4.24096967318e-16,3.98432303543e-16,4.88903604344e-16
1465655829,395,274959,58,20,9.23246088627e-16,8.80865515706e-16,3.81824612052e-16,3.25934783937e-16
1465655830,852,274959,58,24,9.89172623188e-16,4.56752545491e-16,5.3125767917e-16,4.7412624097e-16
1465655832,309,274959,58,28,3.95665459067e-16,7.83000794343e-16,3.1543902645e-16,3.40759013619e-16
1465655833,766,274959,58,32,1.08809643217e-15,6.19858807641e-16,2.82231288042e-16,2.81494909931e-16
1465655835,223,274959,58,36,6.26498349686e-16,5.87282104491e-16,3.15432331543e-16,4.00033739116e-16
1465655836,680,274959,58,40,6.5944343307e-16,7.50382265039e-16,2.82226343128e-16,3.40786814288e-16
1465655838,137,274959,58,44,9.89218790985e-16,8.15672433526e-16,3.32037332483e-16,4.59308313413e-16
1465655839,594,274959,58,48,6.26466840994e-16,8.48263999213e-16,2.65630401388e-16,5.63026081054e-16
1465655841,50,274959,58,52,1.02216395178e-15,4.56749395069e-16,3.48653502821e-16,4.59285316911e-16
1465655842,507,274959,58,56,6.26453920676e-16,8.15576681573e-16,2.65638065962e-16,5.33390687731e-16
1465655843,964,274959,58,60,8.24288327715e-16,7.50349165116e-16,5.64517312012e-16,5.92663835103e-16
1465655845,421,274959,58,64,7.25394941242e-16,7.17749460638e-16,3.15442026169e-16,4.00031680132e-16
1465655846,878,274959,59,4,4.28657113742e-16,7.82991686476e-16,3.8185742117e-16,3.70405686684e-16
1465655848,335,274959,59,8,6.26470983765e-16,4.89364071106e-16,3.98462529999e-16,5.03741810178e-16
1465655849,792,274959,59,12,5.93513539913e-16,7.50354318107e-16,3.32054641018e-16,4.44468797683e-16
1465655851,249,274959,59,16,8.24325583737e-16,6.19863887849e-16,2.98859252212e-16,3.85214424803e-16
1465655852,706,274959,59,20,4.28631414972e-16,4.89355832035e-16,2.82250169037e-16,3.8521947825e-16
1465655854,163,274959,59,24,6.59471340948e-16,4.56724406563e-16,3.65276703984e-16,2.81510437813e-16
1465655855,620,274959,59,28,7.58366796104e-16,6.85124371006e-16,3.65261512493e-16,4.44512454152e-16
1465655857,77,274959,59,32,6.59445627487e-16,3.91486130355e-16,3.15463222431e-16,4.88944239033e-16
1465655858,534,274959,59,36,5.93504446181e-16,1.01142116867e-15,4.48286424565e-16,3.25973198439e-16
1465655859,990,274959,59,40,8.24323121304e-16,8.48266094844e-16,3.98483063282e-16,6.96419219415e-16
1465655861,447,274959,59,44,9.562716811e-16,4.89383709788e-16,3.48669286027e-16,4.74156725095e-16
1465655862,904,274959,59,48,8.57348160698e-16,5.54600139354e-16,4.15093822381e-16,4.74137835516e-16
1465655864,361,274959,59,52,9.56172340366e-16,8.15642859684e-16,4.64893164709e-16,4.14879251887e-16
1465655865,818,274959,59,56,1.05507942062e-15,9.46140387828e-16,3.1546054022e-16,4.88989242676e-16
1465655867,275,274959,59,60,7.25407426259e-16,9.46190077071e-16,5.47934641746e-16,5.77881682119e-16
1465655868,732,274959,59,64,1.02221737643e-15,4.24102797123e-16,4.98110827902e-16,4.59348292164e-16
1465655870,189,274959,60,4,6.26491984916e-16,7.50374688284e-16,2.65648245015e-16,4.88968111451e-16
1465655871,646,274959,60,8,8.90239773086e-16,5.54621691083e-16,5.81135409463e-16,4.44523656276e-16
1465655873,103,274959,60,12,5.27548622053e-16,9.1349953484e-16,4.31694776288e-16,4.74147093508e-16
1465655874,560,274959,60,16,6.9246335627e-16,6.19880472376e-16,2.98864121212e-16,4.7417350267e-16
1465655876,17,274959,60,20,1.0880788123e-15,4.89379090899e-16,3.32064424394e-16,5.48256036002e-16
1465655877,473,274959,60,24,1.08812339137e-15,8.15645155313e-16,4.31694508897e-16,5.33449937897e-16
1465655878,930,274959,60,28,7.25417017623e-16,7.50351825633e-16,2.82268501678e-16,4.00078534005e-16
1465655880,387,274959,60,32,8.90273831793e-16,1.07665860203e-15,3.98503689896e-16,4.88982214373e-16
1465655881,844,274959,60,36,8.57292554793e-16,5.21975974437e-16,3.65294341786e-16,5.9271595333e-16
1465655883,301,274959,60,40,6.26459744124e-16,5.22002521647e-16,2.82266649891e-16,4.74162949391e-16
1465655884,758,274959,60,44,7.9131100815e-16,6.19884947984e-16,6.14368944606e-16,4.74168999312e-16
1465655886,215,274959,60,48,9.23200139276e-16,6.19855556726e-16,4.15100176687e-16,4.59335276674e-16
1465655887,672,274959,60,52,1.12114731036e-15,6.5248939561e-16,4.81527114546e-16,4.4452800703e-16
1465655889,129,274959,60,56,9.56181387019e-16,8.8087603066e-16,3.48695421003e-16,4.29723623565e-16
1465655890,586,274959,60,60,1.02210438006e-15,5.87262898359e-16,3.98508724094e-16,4.88994802664e-16
1465655892,43,274959,60,64,6.92388736225e-16,6.19863053354e-16,5.31331143214e-16,4.89000049486e-16
1465655893,500,274959,61,4,1.02214273607e-15,8.48235574404e-16,2.98880081232e-16,5.03809867897e-16
1465655894,957,274959,61,8,9.2325057951e-16,7.17750627959e-16,4.64931844406e-16,5.03822197175e-16
1465655896,413,274959,61,12,1.02217384064e-15,7.50426838486e-16,4.8155253943e-16,4.74188674734e-16
1465655897,870,274959,61,16,5.93473120323e-16,7.83006131917e-16,4.48338137873e-16,4.14911567617e-16
1465655899,327,274959,61,20,8.57413903141e-16,6.52501751252e-16,3.65307622847e-16,4.29744125134e-16
1465655900,784,274959,61,24,7.2536426843e-16,7.50363573929e-16,4.64936903279e-16,3.85274765094e-16
1465655902,241,274959,61,28,8.24289419159e-16,5.87265532795e-16,5.14760424647e-16,4.74197229726e-16
1465655903,698,274959,61,32,9.23259579694e-16,5.54648648797e-16,4.64955444814e-16,3.70462831386e-16
1465655905,155,274959,61,36,5.93498699647e-16,8.15657796132e-16,3.6532424734e-16,5.03857667363e-16
1465655906,612,274959,61,40,9.56184912183e-16,8.15640646027e-16,4.81557858583e-16,5.63101011915e-16
1465655908,69,274959,61,44,4.61601142386e-16,4.2411417569e-16,4.15167966341e-16,4.74201339181e-16
1465655909,526,274959,61,48,9.56198319802e-16,6.85127280119e-16,3.3211074248e-16,5.03846984943e-16
1465655910,983,274959,61,52,1.0221487948e-15,5.54606868653e-16,4.64961501355e-16,4.44544751978e-16
1465655912,440,274959,61,56,9.89155699912e-16,7.8299628089e-16,4.48348809318e-16,5.18647173457e-16
1465655913,897,274959,61,60,1.12105390629e-15,6.52468845227e-16,4.31742908196e-16,6.37204982016e-16
1465655915,354,274959,61,64,9.56181332776e-16,9.4606399064e-16,5.31386340807e-16,5.18664994447e-16
1465655916,810,274959,62,4,9.23228572871e-16,7.50384668069e-16,6.80837783905e-16,3.40829445635e-16
1465655918,267,274959,62,8,8.57290069938e-16,7.50331804848e-16,4.64961014888e-16,4.89002464311e-16
1465655919,724,274959,62,12,8.90265450638e-16,8.8082891868e-16,5.14775331352e-16,6.520051569e-16
1465655921,181,274959,62,16,1.38486557615e-15,6.85113416206e-16,5.81222655364e-16,4.14919473288e-16
1465655922,638,274959,62,20,1.41784336664e-15,6.85135394649e-16,3.32125093008e-16,4.59382705373e-16
1465655924,95,274959,62,24,1.41799713899e-15,8.48239406771e-16,5.14806908112e-16,6.5202277623e-16
1465655925,552,274959,62,28,1.05516450881e-15,8.15617626392e-16,4.81598947771e-16,5.03831574182e-16
1465655927,9,274959,62,32,7.91367645486e-16,7.17725737655e-16,4.4840277854e-16,3.85280401883e-16
1465655928,466,274959,62,36,1.18708771346e-15,7.17733705126e-16,3.65360870654e-16,5.48301744422e-16
1465655929,923,274959,62,40,9.89215259482e-16,8.15608645353e-16,4.81630811908e-16,6.22398233312e-16
1465655931,380,274959,62,44,9.56287081661e-16,8.8092803955e-16,4.31786921572e-16,5.03859522632e-16
1465655932,836,274959,62,48,1.45089435504e-15,1.23969637741e-15,4.65005971302e-16,5.1865185181e-16
1465655934,293,274959,62,52,9.56226102143e-16,6.85092035124e-16,3.48745299995e-16,6.37220046613e-16
1465655935,750,274959,62,56,9.56210626316e-16,1.04399409688e-15,4.65017792839e-16,5.48300765671e-16
1465655937,207,274959,62,60,1.1540838418e-15,1.04401305884e-15,4.98220622309e-16,7.55794699032e-16
1465655938,664,274959,62,64,1.22009843191e-15,9.78788417199e-16,5.14840959142e-16,3.70477858305e-16
1465655940,121,274959,63,4,6.59465094331e-16,8.48227176033e-16,4.8162117858e-16,5.48331810241e-16
1465655941,578,274959,63,8,1.41793094033e-15,6.85131631426e-16,4.15197679064e-16,6.52053864371e-16
1465655943,35,274959,63,12,1.28607650978e-15,8.48244284708e-16,5.14845243892e-16,5.03854455247e-16
1465655944,492,274959,63,16,1.25308059978e-15,8.15674056641e-16,6.14490791871e-16,5.187060983e-16
1465655945,949,274959,63,20,9.89190528114e-16,1.04398960477e-15,5.48066972665e-16,5.4834400979e-16
1465655947,406,274959,63,24,1.18705034988e-15,9.13480545389e-16,5.14840801323e-16,5.92792439886e-16
1465655948,863,274959,63,28,1.15410266385e-15,8.15584125072e-16,3.48784399621e-16,5.77986368573e-16
1465655950,320,274959,63,32,5.93516612988e-16,7.17729204782e-16,4.31810343739e-16,4.89052662771e-16
1465655951,776,274959,63,36,1.15404526204e-15,6.85094428274e-16,5.31460783598e-16,6.22424414594e-16
1465655953,233,274959,63,40,7.91357137837e-16,9.13475059499e-16,5.14861364937e-16,4.8904713005e-16
1465655954,690,274959,63,44,1.41791584374e-15,7.17721052633e-16,5.31473805495e-16,3.85318285086e-16
