#time_sec,time_ms,run,ls,nb,bcm1f_minus,bcm1f_plus
1465649721,940,274958,136,12,0.17015466094,0.0985848158598
1465649723,432,274958,136,16,0.130623787642,0.0834790840745
1465649724,852,274958,136,20,0.136925324798,0.131978407502
1465649726,309,274958,136,24,0.143226504326,0.10335419327
1465649727,766,274958,136,28,0.136925280094,0.119255699217
1465649729,223,274958,136,32,0.129477456212,0.167753010988
1465649730,680,274958,136,36,0.144952565432,0.121643327177
1465649732,136,274958,136,40,0.138075351715,0.111305341125
1465649733,631,274958,136,44,0.1329190135,0.1693431288
1465649735,50,274958,136,48,0.199391901493,0.133566498756
1465649736,507,274958,136,52,0.155846551061,0.0747336298227
1465649737,964,274958,136,56,0.185074314475,0.134362921119
1465649739,421,274958,136,60,0.127773046494,0.158220499754
1465649740,877,274958,136,64,0.190220028162,0.099386446178
1465649742,334,274958,137,4,0.147821575403,0.107337363064
1465649743,830,274958,137,8,0.144959762692,0.0985937789083
1465649745,248,274958,137,12,0.128916800022,0.0492968894541
1465649746,705,274958,137,16,0.159856185317,0.135167405009
1465649748,162,274958,137,20,0.155271679163,0.117672741413
1465649749,618,274958,137,24,0.228608369827,0.104161500931
1465649751,76,274958,137,28,0.115163609385,0.170952066779
1465649752,533,274958,137,32,0.141516372561,0.115292973816
1465649754,28,274958,137,36,0.132922232151,0.119268588722
1465649755,446,274958,137,40,0.229181945324,0.0882593020797
1465649756,903,274958,137,44,0.209127560258,0.0946197137237
1465649758,360,274958,137,48,0.150113508105,0.0850782245398
1465649759,817,274958,137,52,0.165012866259,0.111318185925
1465649761,277,274958,137,56,0.144959241152,0.10416200012
1465649762,733,274958,137,60,0.156416371465,0.109727062285
1465649764,232,274958,137,64,0.154698804021,0.0970054715872
1465649765,646,274958,138,4,0.156990632415,0.100981116295
1465649767,103,274958,138,8,0.143245562911,0.100187845528
1465649768,559,274958,138,12,0.178196340799,0.0938253551722
1465649770,16,274958,138,16,0.123763389885,0.0779227614403
1465649771,473,274958,138,20,0.128348782659,0.0978044345975
1465649772,930,274958,138,24,0.09683457762,0.150284841657
1465649774,425,274958,138,28,0.128344297409,0.0898525863886
1465649775,844,274958,138,32,0.138092204928,0.108935438097
1465649777,300,274958,138,36,0.0641756355762,0.104959703982
1465649778,757,274958,138,40,0.186223819852,0.118479654193
1465649780,215,274958,138,44,0.163303971291,0.12325065583
1465649781,671,274958,138,48,0.170751750469,0.0564573928714
1465649783,128,274958,138,52,0.170175135136,0.118480958045
1465649784,623,274958,138,56,0.14152610302,0.12881821394
1465649786,42,274958,138,60,0.132932290435,0.0890600904822
1465649787,499,274958,138,64,0.198825463653,0.11927691102
1465649788,956,274958,139,4,0.127204611897,0.139951437712
1465649790,413,274958,139,8,0.170173615217,0.152683660388
1465649791,870,274958,139,12,0.116886928678,0.0747513696551
1465649793,326,274958,139,16,0.229766771197,0.101787857711
1465649794,822,274958,139,20,0.197679668665,0.0636174157262
1465649796,241,274958,139,24,0.153557494283,0.10338204354
1465649797,698,274958,139,28,0.148405730724,0.0842941850424
1465649799,154,274958,139,32,0.127204924822,0.097017839551
1465649666,576,274958,133,52,0.15753865242,0.150240108371
1465649532,538,274958,128,4,0.138012632728,0.100100748241
1465649261,550,274958,116,28,0.152224421501,0.126168057323
1465649800,611,274958,139,36,0.18564529717,0.166995674372
1465649802,68,274958,139,40,0.161007195711,0.0842930451035
1465649803,525,274958,139,44,0.171324536204,0.124849922955
1465649805,20,274958,139,48,0.199976682663,0.147119343281
1465649806,439,274958,139,52,0.16330473125,0.0946335121989
1465649807,896,274958,139,56,0.194251284003,0.143147259951
1465649809,353,274958,139,60,0.197689399123,0.120879895985
1465649810,810,274958,139,64,0.155861049891,0.0660066083074
1465649812,266,274958,140,4,0.175916671753,0.151099473238
1465649813,724,274958,140,8,0.187378555536,0.0986105725169
1465649815,218,274958,140,12,0.171911433339,0.128833055496
1465649816,637,274958,140,16,0.108877249062,0.0477159507573
1465649818,94,274958,140,20,0.101423725486,0.152691394091
1465649819,552,274958,140,24,0.141538947821,0.163030475378
1465649821,8,274958,140,28,0.169617518783,0.0771412551403
1465649822,465,274958,140,32,0.151278600097,0.1598533988
1465649823,922,274958,140,36,0.16217418015,0.0755517631769
1465649825,417,274958,140,40,0.179938822985,0.168599709868
1465649826,836,274958,140,44,0.143830150366,0.0874815285206
1465649828,294,274958,140,48,0.196548774838,0.0986155420542
1465649829,750,274958,140,52,0.143262654543,0.0755527168512
1465649831,209,274958,140,56,0.157009199262,0.141564428806
1465649832,665,274958,140,60,0.154146850109,0.0906655788422
1465649834,121,274958,140,64,0.171337947249,0.0795312151313
1465649835,616,274958,141,4,0.171337202191,0.0946430712938
1465649837,34,274958,141,8,0.202851116657,0.135997578502
1465649838,491,274958,141,12,0.146694600582,0.104980587959
1465649839,948,274958,141,16,0.218322455883,0.120094716549
1465649841,405,274958,141,20,0.0928335562348,0.13918466866
1465649842,863,274958,141,24,0.144980803132,0.0938502252102
1465649844,319,274958,141,28,0.18336635828,0.105778999627
1465649845,814,274958,141,32,0.133513629436,0.101007014513
1465649847,233,274958,141,36,0.137536108494,0.139181315899
1465649848,689,274958,141,40,0.115755140781,0.0731715410948
1465649850,149,274958,141,44,0.182801410556,0.0954411402345
1465649851,604,274958,141,48,0.126071408391,0.178957656026
1465649853,61,274958,141,52,0.224636331201,0.13759855926
1465649854,518,274958,141,56,0.146123334765,0.0763571709394
1465649856,13,274958,141,60,0.186809122562,0.0906735509634
1465649857,431,274958,141,64,0.128932610154,0.108966723084
1465649858,888,274958,142,4,0.154152408242,0.11612880975
1465649860,345,274958,142,8,0.191401109099,0.107379384339
1465649861,802,274958,142,12,0.242976561189,0.120105952024
1465649863,259,274958,142,16,0.151293665171,0.118515297771
1465649864,717,274958,142,20,0.158743724227,0.0564737319946
1465649866,211,274958,142,24,0.177083611488,0.0644289925694
1465649867,630,274958,142,28,0.190837398171,0.116931326687
1465649869,88,274958,142,32,0.249297633767,0.120907112956
1465649870,545,274958,142,36,0.136969387531,0.0787468701601
1465649872,2,274958,142,40,0.118057288229,0.168629661202
1465649873,458,274958,142,44,0.158749550581,0.128859519958
1465649874,914,274958,142,48,0.106598541141,0.0843150243163
1465649876,409,274958,142,52,0.261338382959,0.115336582065
1465649877,829,274958,142,56,0.168490603566,0.171816319227
1465649879,286,274958,142,60,0.187976852059,0.0922713205218
1465649880,742,274958,142,64,0.146713644266,0.104202955961
1465649882,199,274958,143,4,0.214335933328,0.0882957130671
1465649883,656,274958,143,8,0.0945599749684,0.0676138401031
1465649885,113,274958,143,12,0.159894436598,0.191706418991
1465649886,607,274958,143,16,0.146718502045,0.114547923207
1465649888,29,274958,143,20,0.175947576761,0.0835245326161
1465649889,484,274958,143,24,0.212051406503,0.0906848013401
1465649890,941,274958,143,28,0.164483129978,0.114549212158
1465649892,399,274958,143,32,0.149580955505,0.0755688324571
1465649893,855,274958,143,36,0.194288760424,0.122500441968
1465649895,311,274958,143,40,0.196008145809,0.107386760414
1465649896,806,274958,143,44,0.237850114703,0.122503839433
1465649898,225,274958,143,48,0.148441389203,0.0493197254837
1465649899,682,274958,143,52,0.182832211256,0.124892316759
1465649901,139,274958,143,56,0.128383740783,0.108982466161
1465649902,595,274958,143,60,0.162768155336,0.124894566834
1465649904,53,274958,143,64,0.223520994186,0.115348525345
1465649905,510,274958,144,4,0.1931450665,0.140804752707
1465649907,5,274958,144,8,0.11061770469,0.0819375663996
1465649908,423,274958,144,12,0.163922429085,0.0962595716119
1465649909,880,274958,144,16,0.151313021779,0.114556841552
1465649911,339,274958,144,20,0.165071204305,0.112167641521
1465649912,795,274958,144,24,0.179973453283,0.0954618230462
1465649914,252,274958,144,28,0.124951824546,0.138424605131
1465649915,708,274958,144,32,0.147305324674,0.120130926371
1465649917,212,274958,144,36,0.19487862289,0.0676233693957
1465649918,622,274958,144,40,0.250476032495,0.112967729568
1465649920,79,274958,144,44,0.205195471644,0.0787591859698
1465649921,536,274958,144,48,0.150172129273,0.102624811232
1465649922,993,274958,144,52,0.138137325644,0.120927855372
1465649924,450,274958,144,56,0.202333927155,0.101038403809
1465649925,907,274958,144,60,0.200612545013,0.103423275054
1465649927,402,274958,144,64,0.139855593443,0.139223635197
1465649928,821,274958,145,4,0.143866121769,0.151158004999
1465649930,277,274958,145,8,0.121518082917,0.116154320538
1465649931,734,274958,145,12,0.10145611316,0.12013220787
1465649933,192,274958,145,16,0.143293738365,0.102634467185
1465649532,538,274958,128,4,0.138012632728,0.100100748241
1465649261,550,274958,116,28,0.152224421501,0.126168057323
1465649934,648,274958,145,20,0.17768420279,0.147188976407
1465649936,105,274958,145,24,0.120368637145,0.170260503888
1465649937,601,274958,145,28,0.13813842833,0.0954730510712
1465649939,19,274958,145,32,0.15820004046,0.0883125662804
1465649940,476,274958,145,36,0.176542431116,0.14242054522
1465649941,933,274958,145,40,0.134126394987,0.0883166566491
1465649943,400,274958,145,44,0.141580164433,0.0763802081347
1465649944,846,274958,145,48,0.197189942002,0.149580195546
1465649946,304,274958,145,52,0.180566415191,0.117754623294
1465649947,800,274958,145,56,0.153050094843,0.12332611531
1465649949,218,274958,145,60,0.113500364125,0.153557732701
1465649950,674,274958,145,64,0.244197756052,0.135258123279
1465649952,131,274958,146,4,0.114644855261,0.186184242368
1465649953,589,274958,146,8,0.149038657546,0.087524458766
1465649955,45,274958,146,12,0.191457375884,0.0779763311148
1465649956,502,274958,146,16,0.193750306964,0.0572873912752
1465649957,997,274958,146,20,0.161076456308,0.111392147839
1465649959,416,274958,146,24,0.166230291128,0.136061251163
1465649960,872,274958,146,28,0.201198518276,0.14481498301
1465649962,330,274958,146,32,0.132412686944,0.0978694558144
1465649963,787,274958,146,36,0.154770806432,0.0739991590381
1465649965,243,274958,146,40,0.134136766195,0.147996395826
1465649966,700,274958,146,44,0.163371697068,0.13446983695
1465649968,197,274958,146,48,0.193178445101,0.148794665933
